Price,Sq Ft,Bedrooms,Full Bath,Property Type,Taxes,Style,Lot Size,Year Built,Town/City,Half Bath
550000.0,4500.0,4,2.0, Single Family ,4713.0,Cape Cod,0.1,1957.0,Hempstead,0
549999.0,7020.0,3,1.0, Single Family ,6824.0,Colonial,0.16,1940.0,Hempstead,1
659000.0,5400.0,6,2.0, Multi-Family ,19990.0,Hi Ranch,0.12,1962.0,Hempstead,0
799000.0,6050.0,3,3.0, Single Family ,18412.0,Colonial,0.14,1935.0,Hempstead,1
945000.0,2280.0,3,2.0, Single Family ,19980.0,Colonial,0.25,1948.0,Hempstead,1
599000.0,5000.0,4,2.0, Single Family ,12293.0,Cape Cod,0.11,1931.0,Hempstead,0
500000.0,4000.0,4,2.0, Single Family ,12000.0,Exp Cape,0.09,1952.0,Hempstead,0
699880.0,9750.0,5,3.0, Multi-Family ,14562.0,Duplex,0.22,1935.0,Hempstead,1
625000.0,3300.0,3,1.0, Single Family ,10637.0,Two Story,0.08,1938.0,Hempstead,0
799000.0,1800.0,3,3.0, Single Family ,11000.0,Colonial,0.11,1941.0,Hempstead,0
645000.0,1248.0,3,1.0, Single Family ,11500.0,Colonial,0.13,1908.0,Hempstead,1
650000.0,5000.0,4,3.0, Single Family ,8917.0,Ranch,0.11,1924.0,Hempstead,0
549888.0,5100.0,4,2.0, Single Family ,13026.0,Cape Cod,0.12,1951.0,Hempstead,0
649995.0,6240.0,4,2.0, Single Family ,15264.0,Cape Cod,0.14,1951.0,Hempstead,0
499000.0,4000.0,3,1.0, Single Family ,12171.0,Cape Cod,0.09,1923.0,Hempstead,1
579000.0,1613.0,4,2.0, Single Family ,14939.0,Split Level,0.11,1960.0,Hempstead,0
629999.0,6780.0,4,3.0, Single Family ,14567.0,Cape Cod,0.16,1957.0,Hempstead,0
429998.0,1310.0,4,2.0, Single Family ,12443.0,Cape Cod,0.14,1949.0,Hempstead,1
749900.0,5800.0,5,3.0, Single Family ,14966.0,Colonial,0.13,1928.0,Hempstead,0
659000.0,4360.0,4,2.0, Single Family ,9532.0,Colonial,0.1,1928.0,Hempstead,0
729000.0,2580.0,6,2.0, Multi-Family ,14020.0,Colonial,0.06,1913.0,Hempstead,0
1200000.0,9000.0,4,3.0, Single Family ,9587.0,Colonial,0.21,1972.0,Hempstead,0
549000.0,1455.0,4,2.0, Townhouse ,11834.0,Townhouse,0.03,2017.0,Hempstead,0
