Price,Sq Ft,Bedrooms,Full Bath,Half Bath,Property Type,Lot Size,Year Built,Town/City,Town/City Median Income
1950000.0,3388, 5 ,4.0,1.0, Single Family ,0.13,1968.0,Oyster Bay,117085
995000.0,6192, 4 ,1.0,2.0, Single Family ,0.14,1903.0,Oyster Bay,117085
1325000.0,3582, 5 ,3.0,1.0, Single Family ,0.21,1905.0,Oyster Bay,117085
2395000.0,87338, 5 ,5.0,1.0, Single Family ,2.01,1984.0,Oyster Bay,117085
989000.0,14810, 4 ,3.0,1.0, Multi-Family ,0.34,1930.0,Oyster Bay,117085
929000.0,1881, 3 ,2.0,1.0, Single Family ,0.17,1960.0,Oyster Bay,117085
839000.0,1600, 4 ,2.0,0.0, Single Family ,0.18,1956.0,Oyster Bay,117085
10888000.0,7830, 6 ,8.0,3.0, Single Family ,16.14,1856.0,Oyster Bay,117085
1200000.0,6750, 4 ,2.0,1.0, Single Family ,0.15,2023.0,Oyster Bay,117085
3788000.0,6355, 6 ,6.0,1.0, Single Family ,1.25,2023.0,Oyster Bay,117085
1750000.0,87294, 5 ,3.0,1.0, Single Family ,2.0,1985.0,Oyster Bay,117085
1250000.0,6750, 4 ,2.0,1.0, Single Family ,0.15,2023.0,Oyster Bay,117085
495000.0,3049, 2 ,1.0,1.0, Single Family ,0.07,2023.0,Oyster Bay,117085
1500000.0,89298, 5 ,3.0,1.0, Single Family ,2.05,2002.0,Oyster Bay,117085
749000.0,1142, 4 ,2.0,0.0, Single Family ,0.11,1948.0,Carle Place,88019
949000.0,1831, 4 ,2.0,0.0, Single Family ,0.15,1947.0,Carle Place,88019
999000.0,6300, 4 ,4.0,0.0, Multi-Family ,0.14,1950.0,Carle Place,88019
1099000.0,2650, 4 ,3.0,0.0, Single Family ,0.14,1947.0,Carle Place,88019
769000.0,1385, 3 ,2.0,0.0, Single Family ,0.14,1947.0,Carle Place,88019
899000.0,1714, 4 ,2.0,0.0, Single Family ,0.15,1975.0,Carle Place,88019
749999.0,1365, 4 ,2.0,0.0, Single Family ,0.11,1953.0,Carle Place,88019
529000.0,1267, 3 ,1.0,1.0, Single Family ,0.1,1940.0,Carle Place,88019
870000.0,1803, 4 ,3.0,0.0, Single Family ,0.16,1951.0,Carle Place,88019
699000.0,1313, 4 ,2.0,0.0, Single Family ,0.28,1948.0,Carle Place,88019
859000.0,15002, 2 ,1.0,1.0, Single Family ,0.34,1930.0,Carle Place,88019
699000.0,1750, 3 ,2.0,0.0, Single Family ,0.11,1955.0,Carle Place,88019
1800000.0,13843, 6 ,2.0,0.0, Multi-Family ,0.32,1967.0,Carle Place,88019
800000.0,1855, 3 ,2.0,0.0, Single Family ,0.17,1928.0,South Hempstead,105456
629000.0,7020, 4 ,2.0,0.0, Single Family ,0.16,1952.0,South Hempstead,105456
525000.0,5000, 2 ,2.0,0.0, Single Family ,0.11,1940.0,South Hempstead,105456
735000.0,5700, 4 ,2.0,0.0, Single Family ,0.13,1933.0,South Hempstead,105456
949000.0,1941, 5 ,3.0,0.0, Single Family ,0.1,1943.0,Garden City,148988
749999.0,4200, 4 ,3.0,0.0, Single Family ,0.1,1943.0,Franklin Square,98226
1440000.0,3865, 5 ,3.0,1.0, Single Family ,0.18,2005.0,Garden City,148988
799999.0,5000, 4 ,2.0,0.0, Single Family ,0.11,1946.0,Franklin Square,98226
1088000.0,6000, 3 ,3.0,1.0, Single Family ,0.14,1954.0,Garden City,148988
875000.0,4000, 4 ,3.0,0.0, Single Family ,0.09,1996.0,Franklin Square,98226
1799000.0,15002, 6 ,3.0,1.0, Single Family ,0.34,1913.0,Garden City,148988
899999.0,1808, 3 ,3.0,0.0, Single Family ,0.15,1954.0,Garden City,148988
1899000.0,6400, 4 ,4.0,1.0, Single Family ,0.15,1930.0,East Williston,130858
1529888.0,2500, 4 ,2.0,1.0, Single Family ,0.24,1948.0,East Williston,130858
999999.0,1624, 2 ,2.0,1.0, Single Family ,0.14,1943.0,East Williston,130858
1398880.0,8000, 5 ,3.0,1.0, Single Family ,0.18,1953.0,East Williston,130858
1525000.0,3454, 4 ,3.0,1.0, Single Family ,0.29,1937.0,East Williston,130858
979000.0,1652, 3 ,2.0,1.0, Single Family ,0.29,1954.0,East Williston,130858
1200000.0,2123, 3 ,1.0,1.0, Single Family ,0.24,1937.0,East Williston,130858
1225000.0,2782, 5 ,3.0,0.0, Single Family ,0.14,1918.0,East Williston,130858
2599000.0,4900, 5 ,4.0,1.0, Single Family ,0.61,2011.0,East Williston,130858
1250000.0,3000, 4 ,2.0,1.0, Single Family ,0.14,2018.0,Massapequa,109697
679000.0,1360, 3 ,1.0,1.0, Single Family ,0.18,1955.0,Massapequa,109697
699900.0,6000, 4 ,2.0,1.0, Single Family ,0.14,1968.0,Massapequa,109697
999000.0,3000, 6 ,3.0,0.0, Single Family ,0.18,1955.0,Massapequa,109697
639000.0,1758, 5 ,2.0,0.0, Single Family ,0.18,1965.0,Massapequa,109697
659000.0,4000, 3 ,2.0,0.0, Single Family ,0.09,1963.0,Massapequa,109697
899999.0,1800, 5 ,2.0,0.0, Single Family ,0.18,1953.0,Massapequa,109697
679000.0,1850, 3 ,2.0,0.0, Single Family ,0.14,1951.0,Massapequa,109697
649990.0,1254, 3 ,1.0,1.0, Single Family ,0.21,1956.0,Massapequa Park,118445
1080000.0,3000, 5 ,3.0,0.0, Single Family ,0.28,1956.0,Massapequa,109697
675000.0,7000, 5 ,3.0,0.0, Single Family ,0.16,1965.0,Massapequa,109697
699000.0,6500, 3 ,2.0,0.0, Single Family ,0.15,1956.0,Massapequa Park,118445
825000.0,2408, 4 ,2.0,1.0, Single Family ,0.18,1950.0,Massapequa,109697
825000.0,8000, 4 ,1.0,1.0, Single Family ,0.18,1949.0,Massapequa,109697
774990.0,2875, 4 ,3.0,0.0, Single Family ,0.18,1953.0,Massapequa,109697
499000.0,8900, 3 ,1.0,0.0, Single Family ,0.2,1943.0,Massapequa,109697
685000.0,1573, 4 ,1.0,1.0, Single Family ,0.16,1956.0,Massapequa Park,118445
749000.0,1500, 4 ,3.0,0.0, Single Family ,0.14,1956.0,Massapequa,109697
1149999.0,3200, 4 ,3.0,1.0, Single Family ,0.11,1925.0,Massapequa,109697
698888.0,1456, 4 ,2.0,0.0, Single Family ,0.53,1962.0,Massapequa,109697
774999.0,1850, 5 ,2.0,0.0, Single Family ,0.14,1951.0,Massapequa,109697
625000.0,6000, 6 ,2.0,0.0, Single Family ,0.14,1950.0,Amityville,80155
749990.0,1800, 4 ,2.0,0.0, Single Family ,0.18,1954.0,Massapequa Park,118445
679999.0,1861, 4 ,2.0,0.0, Single Family ,0.09,1973.0,Massapequa,109697
899999.0,12384, 3 ,2.0,0.0, Single Family ,0.28,1956.0,Massapequa Park,118445
999000.0,10000, 4 ,2.0,1.0, Single Family ,0.23,2024.0,Massapequa,109697
549999.0,6250, 3 ,2.0,0.0, Single Family ,0.14,1963.0,Massapequa,109697
1100000.0,5900, 5 ,2.0,1.0, Single Family ,0.14,2024.0,Massapequa,109697
1088888.0,3064, 4 ,3.0,1.0, Single Family ,0.23,1962.0,Massapequa,109697
539999.0,13281, 3 ,1.0,0.0, Single Family ,0.3,1953.0,Massapequa,109697
639000.0,7700, 4 ,2.0,0.0, Single Family ,0.18,1956.0,Massapequa Park,118445
649000.0,6500, 5 ,2.0,0.0, Single Family ,0.15,1970.0,Massapequa,109697
779000.0,2110, 5 ,4.0,0.0, Single Family ,0.17,1968.0,Massapequa,109697
774000.0,15198, 3 ,2.0,0.0, Single Family ,0.35,1925.0,Massapequa,109697
675000.0,8400, 3 ,2.0,0.0, Single Family ,0.19,1956.0,Massapequa Park,118445
2249999.0,22351, 5 ,3.0,1.0, Single Family ,0.51,1966.0,Massapequa,109697
675000.0,7500, 4 ,2.0,0.0, Single Family ,0.17,1965.0,Massapequa,109697
659000.0,1277, 2 ,1.0,0.0, Single Family ,0.19,1953.0,Massapequa Park,118445
1599000.0,3500, 5 ,3.0,1.0, Single Family ,0.28,2024.0,Massapequa,109697
685000.0,6360, 5 ,2.0,0.0, Single Family ,0.15,1966.0,Massapequa,109697
799999.0,6000, 4 ,2.0,0.0, Single Family ,0.14,1966.0,Massapequa,109697
699000.0,1563, 4 ,2.0,0.0, Single Family ,0.34,1966.0,Massapequa,109697
660500.0,10200, 4 ,2.0,0.0, Single Family ,0.23,1966.0,Massapequa,109697
1499000.0,3400, 5 ,3.0,1.0, Single Family ,0.28,2024.0,Massapequa,109697
725000.0,8000, 3 ,1.0,1.0, Single Family ,0.18,1958.0,Massapequa,109697
569990.0,7695, 3 ,2.0,1.0, Single Family ,0.18,1958.0,Massapequa Park,118445
479990.0,1050, 3 ,1.0,0.0, Single Family ,0.15,1949.0,Massapequa,109697
879000.0,8040, 2 ,2.0,0.0, Single Family ,0.18,1929.0,Massapequa,109697
